psa,area_of_interest,total_duration
vape1,handobject,0.835
vape1,text,7.511
vape1,nonuserface,2.968
vape1,vapor,3.545
vape1,ecigarette,12.762
vape1,ecigaretterelated,2.252
vape1,vaperface,7.626
vape2,handobject,3.294
vape2,text,6.049
vape2,nonuserface,1.334
vape2,vapor,4.212
vape2,ecigarette,15.397
vape2,ecigaretterelated,2.235
vape2,vaperface,7.247
vape3,handobject,6.672
vape3,text,7.736
vape3,nonuserface,3.758
vape3,vapor,6.483
vape3,ecigarette,11.637
vape3,ecigaretterelated,1.46
vape3,vaperface,7.016
vape4,handobject,4.769
vape4,text,2.926
vape4,nonuserface,4.905
vape4,vapor,4.636
vape4,ecigarette,12.362
vape4,ecigaretterelated,2.256
vape4,vaperface,9.31
novape1,handobject,0.626
novape1,text,7.743
novape1,nonuserface,2.92
novape1,ecigarette,11.927
novape1,ecigaretterelated,2.211
novape1,vaperface,7.759
novape2,handobject,5.211
novape2,text,5.934
novape2,nonuserface,9.687
novape2,ecigarette,19.893
novape2,ecigaretterelated,2.241
novape2,vaperface,28.588
novape3,handobject,6.65
novape3,text,7.719
novape3,nonuserface,3.775
novape3,ecigarette,13.556
novape3,ecigaretterelated,1.452
novape3,vaperface,19.2
novape4,handobject,6.753
novape4,text,3.504
novape4,nonuserface,3.536
novape4,ecigarette,16.452
novape4,ecigaretterelated,2.234
novape4,vaperface,12.879
smoke1,handobject,12.917
smoke1,text,12.076
smoke1,nonuserface,23.663
smoke1,smoke,11.346
smoke1,cigarette,11.668
smoke1,cigaretterelated,2.191
smoke1,smokerface,22.239
smoke2,handobject,13.35
smoke2,text,6.098
smoke2,nonuserface,10.36
smoke2,smoke,1.603
smoke2,cigarette,10.539
smoke2,cigaretterelated,15.071
smoke2,smokerface,17.077
smoke3,handobject,9.578
smoke3,text,29.993
smoke3,smoke,9.078
smoke3,cigarette,8.456
smoke3,cigaretterelated,6.917
smoke3,smokerface,14.405
smoke4,handobject,0.566
smoke4,text,6.633
smoke4,nonuserface,9.1
smoke4,smoke,19.395
smoke4,cigarette,15.324
smoke4,smokerface,22.731
sports1,handobject,5.08
sports1,text,8.638
sports1,nonuserface,10.56
sports2,handobject,13.32
sports2,text,4.649
sports2,nonuserface,27.64
sports3,handobject,1.56
sports3,text,11.08
sports3,nonuserface,19.28
sports4,handobject,1.045
sports4,text,1.223
sports4,nonuserface,23.005
